,timestamp,semanal_Gains Network,semanal_Rollbit Coin,semanal_USDD,semanal_Bitget Token,semanal_Kaspa,semanal_SingularityNET,semanal_Aragon,semanal_Bitcoin Avalanche Bridged (BTC.b),semanal_Rocket Pool,semanal_Render,semanal_Optimism,semanal_tomiNet
0,2022-02-06,1.1169743605770877,,,1323310.2892374063,,672.2743370453271,352.3716936990044,,8476920.17179838,26065840749.399616,,
1,2022-02-13,0.8348336545938421,,,1797901.0221442718,,686.057933569204,210.8799684736624,,17948602.407872476,14461305823.719286,,
2,2022-02-20,0.2395815553434609,,,2398897.206026411,,261.7734664617276,43.69246137069909,,11845187.72249542,6722711070.349726,,
3,2022-02-27,0.02076662861235166,,,4003081.2763328035,,91.57235631870837,16.24789957002738,,2808521.477395477,2250261102.1323223,,
4,2022-03-06,0.02056393102433354,,,22133545.293932296,,107.60498082690334,20.047062926022026,,4737787.408421854,4427259940.02784,,
5,2022-03-13,0.023053596820440503,,,29065820.06573183,,32.04939463348058,8.068800397882486,,2961886.9782190174,2610931347.3769736,,
6,2022-03-20,0.028289509916871226,,,44253039.67850332,,23.73508442210307,9.201943283686147,,5865899.533019071,2222093996.0285525,,
7,2022-03-27,0.03889254623331378,,,79971636.23673104,,214.41319634335176,18.48500430622245,,12737706.012351342,5056941130.036108,,
8,2022-04-03,0.17383078701920698,,,83472997.31600735,,1427.7328853168701,26.64309703164012,,26399204.991077974,8430591065.804895,,
9,2022-04-10,0.14182266525424625,,,77572350.4837044,,1689.9334639169347,21.255513678169923,,23062774.119339142,4344437311.916693,,
10,2022-04-17,0.3097005915575654,,,51030119.584173195,,1242.8378102265006,6.653156379703602,,12977396.859928258,807346487.3946049,,
11,2022-04-24,0.27182367533573615,,,44989173.342397586,,1182.705239744431,6.175302175310577,,13070133.276359722,540760681.7461288,,
12,2022-05-01,0.03732689960749229,,,27410942.14530222,,162.6893676181285,2.4441361819343737,,9302357.45227148,79658378.73531097,,
13,2022-05-08,0.021610243663528622,,,46808719.270822,,78.19758450602737,0.9708711675227524,,7467842.317583933,102592520.62114207,,
14,2022-05-15,0.0006671954539582376,,,19004325.323993858,,5.162399395282752,0.01697178855455537,,759177.3965571941,3501441.928002233,,
15,2022-05-22,5.476534086084527e-05,,,16761303.893353598,,3.7334648146173133,0.009312364768451629,,399521.2942592646,2373971.182371162,,
16,2022-05-29,6.083410882244085e-06,,,17236559.33461695,,3.0888833777979894,0.013600624188530457,,203090.1547924293,1001914.892579386,,
17,2022-06-05,1.1439074348553447e-05,,,17056062.138977554,,3.824289264955494,0.019727620554792463,,145524.4304795757,668479.3685471432,,
18,2022-06-12,2.1364078613509115e-05,,,16159091.83854393,,2.1768946793277766,0.011816251406266454,,61257.96729789172,260512.33794058717,,
19,2022-06-19,1.2176904820616781e-05,,,1841685.8880567476,,0.2612400310647157,0.004324323307310534,,1963.030167066632,5410.234562425419,,
